rule,layer,roi,subject,seed_idx,epoch,rho,pval
Backprop,FC1,V3,sub-02,0,2,-0.002323,0.237284
Backprop,FC1,V3,sub-03,0,2,0.002943,0.13427
Backprop,FC1,V4,sub-01,0,2,-0.00351,0.074168
Backprop,FC1,V4,sub-02,0,2,0.001455,0.459144
Backprop,FC1,V4,sub-03,0,2,0.010408,0.0
Backprop,FC1,LOC,sub-01,0,2,0.002172,0.269121
Backprop,FC1,LOC,sub-02,0,2,0.012776,0.0
Backprop,FC1,LOC,sub-03,0,2,0.003818,0.052082
Backprop,FC1,IT,sub-01,0,2,0.003357,0.087639
Backprop,FC1,IT,sub-02,0,2,0.008952,5e-06
Backprop,FC1,IT,sub-03,0,2,0.002713,0.167554
Backprop,Conv1,V1,sub-01,0,5,0.010386,0.0
Backprop,Conv1,V1,sub-02,0,5,0.031993,0.0
Backprop,Conv1,V1,sub-03,0,5,0.005738,0.003507
Backprop,Conv1,V2,sub-01,0,5,0.00495,0.011786
Backprop,Conv1,V2,sub-02,0,5,0.018725,0.0
Backprop,Conv1,V2,sub-03,0,5,0.001794,0.361472
Backprop,Conv1,V3,sub-01,0,5,0.007845,6.6e-05
Backprop,Conv1,V3,sub-02,0,5,0.018212,0.0
Backprop,Conv1,V3,sub-03,0,5,0.001591,0.418304
Backprop,Conv1,V4,sub-01,0,5,-7e-05,0.971595
Backprop,Conv1,V4,sub-02,0,5,0.014231,0.0
Backprop,Conv1,V4,sub-03,0,5,0.004565,0.020218
Backprop,Conv1,LOC,sub-01,0,5,0.005073,0.009851
Backprop,Conv1,LOC,sub-02,0,5,0.007045,0.000338
Backprop,Conv1,LOC,sub-03,0,5,0.000883,0.653161
Backprop,Conv1,IT,sub-01,0,5,0.006509,0.000927
Backprop,Conv1,IT,sub-02,0,5,0.007436,0.000155
Backprop,Conv1,IT,sub-03,0,5,0.002618,0.182838
Backprop,Conv2,V1,sub-01,0,5,-0.01568,0.0
Backprop,Conv2,V1,sub-02,0,5,-0.02862,0.0
Backprop,Conv2,V1,sub-03,0,5,0.004084,0.037747
Backprop,Conv2,V2,sub-01,0,5,-0.004573,0.019986
Backprop,Conv2,V2,sub-02,0,5,-0.021067,0.0
Backprop,Conv2,V2,sub-03,0,5,0.003968,0.043511
Backprop,Conv2,V3,sub-01,0,5,-0.001161,0.554837
Backprop,Conv2,V3,sub-02,0,5,-0.017596,0.0
Backprop,Conv2,V3,sub-03,0,5,0.003889,0.04786
Backprop,Conv2,V4,sub-01,0,5,-0.006438,0.001054
Backprop,Conv2,V4,sub-02,0,5,-0.004047,0.039502
Backprop,Conv2,V4,sub-03,0,5,0.009497,1e-06
Backprop,Conv2,LOC,sub-01,0,5,0.006178,0.001673
Backprop,Conv2,LOC,sub-02,0,5,0.005863,0.002856
Backprop,Conv2,LOC,sub-03,0,5,0.001296,0.509629
Backprop,Conv2,IT,sub-01,0,5,0.008258,2.7e-05
Backprop,Conv2,IT,sub-02,0,5,0.001835,0.350554
Backprop,Conv2,IT,sub-03,0,5,0.001924,0.327573
Backprop,Conv3,V1,sub-01,0,5,-0.017808,0.0
Backprop,Conv3,V1,sub-02,0,5,-0.037434,0.0
Backprop,Conv3,V1,sub-03,0,5,0.003748,0.05653
Backprop,Conv3,V2,sub-01,0,5,-0.006415,0.0011
Backprop,Conv3,V2,sub-02,0,5,-0.029411,0.0
Backprop,Conv3,V2,sub-03,0,5,0.00385,0.050167
Backprop,Conv3,V3,sub-01,0,5,-0.003832,0.051237
Backprop,Conv3,V3,sub-02,0,5,-0.025374,0.0
Backprop,Conv3,V3,sub-03,0,5,0.00365,0.063301
Backprop,Conv3,V4,sub-01,0,5,-0.008016,4.5e-05
Backprop,Conv3,V4,sub-02,0,5,-0.002009,0.306711
Backprop,Conv3,V4,sub-03,0,5,0.008963,5e-06
Backprop,Conv3,LOC,sub-01,0,5,0.005624,0.004219
Backprop,Conv3,LOC,sub-02,0,5,0.006603,0.000782
Backprop,Conv3,LOC,sub-03,0,5,0.002472,0.208564
Backprop,Conv3,IT,sub-01,0,5,0.007959,5.1e-05
Backprop,Conv3,IT,sub-02,0,5,0.000488,0.803992
Backprop,Conv3,IT,sub-03,0,5,0.003252,0.098016
Backprop,FC1,V1,sub-01,0,5,-0.018789,0.0
Backprop,FC1,V1,sub-02,0,5,-0.039415,0.0
Backprop,FC1,V1,sub-03,0,5,0.004435,0.024038
Backprop,FC1,V2,sub-01,0,5,-0.003399,0.083769
Backprop,FC1,V2,sub-02,0,5,-0.024287,0.0
Backprop,FC1,V2,sub-03,0,5,0.005368,0.006311
Backprop,FC1,V3,sub-01,0,5,-0.003538,0.07187
Backprop,FC1,V3,sub-02,0,5,-0.019213,0.0
Backprop,FC1,V3,sub-03,0,5,0.003918,0.046226
Backprop,FC1,V4,sub-01,0,5,-0.006233,0.001518
Backprop,FC1,V4,sub-02,0,5,0.001959,0.31901
Backprop,FC1,V4,sub-03,0,5,0.009924,0.0
Backprop,FC1,LOC,sub-01,0,5,0.004234,0.031221
Backprop,FC1,LOC,sub-02,0,5,0.010049,0.0
Backprop,FC1,LOC,sub-03,0,5,0.00461,0.018996
Backprop,FC1,IT,sub-01,0,5,0.006391,0.001149
Backprop,FC1,IT,sub-02,0,5,0.004241,0.030972
Backprop,FC1,IT,sub-03,0,5,0.005389,0.006108
Backprop,Conv1,V1,sub-01,0,10,0.012471,0.0
Backprop,Conv1,V1,sub-02,0,10,0.032298,0.0
Backprop,Conv1,V1,sub-03,0,10,0.005956,0.002445
Backprop,Conv1,V2,sub-01,0,10,0.005725,0.003583
Backprop,Conv1,V2,sub-02,0,10,0.018722,0.0
Backprop,Conv1,V2,sub-03,0,10,0.001889,0.336507
Backprop,Conv1,V3,sub-01,0,10,0.008138,3.5e-05
Backprop,Conv1,V3,sub-02,0,10,0.01788,0.0
Backprop,Conv1,V3,sub-03,0,10,0.001867,0.34221
Backprop,Conv1,V4,sub-01,0,10,0.000513,0.793997
Backprop,Conv1,V4,sub-02,0,10,0.014223,0.0
Backprop,Conv1,V4,sub-03,0,10,0.00455,0.020632
Backprop,Conv1,LOC,sub-01,0,10,0.0056,0.004384
Backprop,Conv1,LOC,sub-02,0,10,0.006882,0.000463
Backprop,Conv1,LOC,sub-03,0,10,0.001236,0.529458
Backprop,Conv1,IT,sub-01,0,10,0.007254,0.000224
Backprop,Conv1,IT,sub-02,0,10,0.00736,0.000181
Backprop,Conv1,IT,sub-03,0,10,0.002748,0.16215
Backprop,Conv2,V1,sub-01,0,10,-0.021369,0.0
Backprop,Conv2,V1,sub-02,0,10,-0.040561,0.0
Backprop,Conv2,V1,sub-03,0,10,0.003105,0.114143
Backprop,Conv2,V2,sub-01,0,10,-0.008517,1.5e-05
Backprop,Conv2,V2,sub-02,0,10,-0.031693,0.0
Backprop,Conv2,V2,sub-03,0,10,0.003311,0.092072
Backprop,Conv2,V3,sub-01,0,10,-0.004486,0.022479
Backprop,Conv2,V3,sub-02,0,10,-0.027547,0.0
Backprop,Conv2,V3,sub-03,0,10,0.003865,0.049249
Backprop,Conv2,V4,sub-01,0,10,-0.007694,9.1e-05
Backprop,Conv2,V4,sub-02,0,10,-0.006201,0.001605
Backprop,Conv2,V4,sub-03,0,10,0.010459,0.0
Backprop,Conv2,LOC,sub-01,0,10,0.006545,0.000868
Backprop,Conv2,LOC,sub-02,0,10,0.00611,0.001881
Backprop,Conv2,LOC,sub-03,0,10,0.00187,0.341292
Backprop,Conv2,IT,sub-01,0,10,0.009293,2e-06
Backprop,Conv2,IT,sub-02,0,10,0.000274,0.889173
Backprop,Conv2,IT,sub-03,0,10,0.002564,0.192023
Backprop,Conv3,V1,sub-01,0,10,-0.022644,0.0
Backprop,Conv3,V1,sub-02,0,10,-0.042304,0.0
Backprop,Conv3,V1,sub-03,0,10,0.00251,0.201639
Backprop,Conv3,V2,sub-01,0,10,-0.011291,0.0
Backprop,Conv3,V2,sub-02,0,10,-0.034415,0.0
Backprop,Conv3,V2,sub-03,0,10,0.002851,0.146986
Backprop,Conv3,V3,sub-01,0,10,-0.006244,0.001489
Backprop,Conv3,V3,sub-02,0,10,-0.029523,0.0
Backprop,Conv3,V3,sub-03,0,10,0.003033,0.122807
Backprop,Conv3,V4,sub-01,0,10,-0.008975,5e-06
Backprop,Conv3,V4,sub-02,0,10,-0.000303,0.877573
Backprop,Conv3,V4,sub-03,0,10,0.009048,4e-06
Backprop,Conv3,LOC,sub-01,0,10,0.006269,0.001426
Backprop,Conv3,LOC,sub-02,0,10,0.009345,2e-06
Backprop,Conv3,LOC,sub-03,0,10,0.003896,0.047459
Backprop,Conv3,IT,sub-01,0,10,0.00897,5e-06
Backprop,Conv3,IT,sub-02,0,10,0.001416,0.471144
Backprop,Conv3,IT,sub-03,0,10,0.004145,0.034979
Backprop,FC1,V1,sub-01,0,10,-0.007713,8.7e-05
Backprop,FC1,V1,sub-02,0,10,-0.025858,0.0
Backprop,FC1,V1,sub-03,0,10,0.006519,0.00091
Backprop,FC1,V2,sub-01,0,10,0.000701,0.721535
Backprop,FC1,V2,sub-02,0,10,-0.018005,0.0
Backprop,FC1,V2,sub-03,0,10,0.005432,0.005718
Backprop,FC1,V3,sub-01,0,10,-3.3e-05,0.98673
Backprop,FC1,V3,sub-02,0,10,-0.015377,0.0
Backprop,FC1,V3,sub-03,0,10,0.005001,0.010947
Backprop,FC1,V4,sub-01,0,10,-0.003681,0.061087
Backprop,FC1,V4,sub-02,0,10,0.004927,0.012188
Backprop,FC1,V4,sub-03,0,10,0.009821,1e-06
Backprop,FC1,LOC,sub-01,0,10,0.007248,0.000227
Backprop,FC1,LOC,sub-02,0,10,0.009258,2e-06
Backprop,FC1,LOC,sub-03,0,10,0.004356,0.026672
Backprop,FC1,IT,sub-01,0,10,0.009634,1e-06
Backprop,FC1,IT,sub-02,0,10,0.003649,0.063385
